page_size	q05_page	nearest_predecessor_member	distance_kernels	observed_in_predecessor
4K	0x7dcbda2bc	32	2	YES
4K	0x7dcbda2bd	32	2	YES
4K	0x7dcbda2be	32	2	YES
4K	0x7dcbda2bf	32	2	YES
4K	0x7dcbda2c0	32	2	YES
4K	0x7dcbda2c1	32	2	YES
4K	0x7dcbda2c2	32	2	YES
4K	0x7dcbda2c3	32	2	YES
4K	0x7dcbda2c4	32	2	YES
4K	0x7dcbda2c5	32	2	YES
4K	0x7dcbda2c6	32	2	YES
4K	0x7dcbda2c7	32	2	YES
4K	0x7dcbda2c8	32	2	YES
4K	0x7dcbda2c9	32	2	YES
4K	0x7dcbda2ca	32	2	YES
4K	0x7dcbda2cb	32	2	YES
4K	0x7dcbda2cc	32	2	YES
4K	0x7dcbda2cd	32	2	YES
4K	0x7dcbda2ce	32	2	YES
4K	0x7dcbda2cf	32	2	YES
4K	0x7dcbda2d0	32	2	YES
4K	0x7dcbda2d1	32	2	YES
4K	0x7dcbda2d2	32	2	YES
4K	0x7dcbda2d3	32	2	YES
4K	0x7dcbda2d4	32	2	YES
4K	0x7dcbda2d5	32	2	YES
4K	0x7dcbda2d6	32	2	YES
4K	0x7dcbda2d7	32	2	YES
4K	0x7dcbda2d8	32	2	YES
4K	0x7dcbda2d9	32	2	YES
4K	0x7dcbda2da	32	2	YES
4K	0x7dcbda2db	32	2	YES
4K	0x7dcbda2dc	32	2	YES
4K	0x7dcbda2dd	32	2	YES
4K	0x7dcbda2de	32	2	YES
4K	0x7dcbda2df	32	2	YES
4K	0x7dcbda2e0	32	2	YES
4K	0x7dcbda2e1	32	2	YES
4K	0x7dcbda2e2	32	2	YES
4K	0x7dcbda2e3	32	2	YES
4K	0x7dcbda2e4	32	2	YES
4K	0x7dcbda2e5	32	2	YES
4K	0x7dcbda2e6	32	2	YES
4K	0x7dcbda2e7	32	2	YES
4K	0x7dcbda2e8	32	2	YES
4K	0x7dcbda2e9	32	2	YES
4K	0x7dcbda2ea	32	2	YES
4K	0x7dcbda2eb	32	2	YES
4K	0x7dcbda2ec	32	2	YES
4K	0x7dcbda2ed	32	2	YES
4K	0x7dcbda2ee	32	2	YES
4K	0x7dcbda2ef	32	2	YES
4K	0x7dcbda2f0	32	2	YES
4K	0x7dcbda2f1	32	2	YES
4K	0x7dcbda2f2	32	2	YES
4K	0x7dcbda2f3	32	2	YES
4K	0x7dcbda2f4	32	2	YES
4K	0x7dcbda2f5	32	2	YES
4K	0x7dcbda2f6	32	2	YES
4K	0x7dcbda2f7	32	2	YES
4K	0x7dcbda2f8	32	2	YES
4K	0x7dcbda2f9	32	2	YES
4K	0x7dcbda2fa	32	2	YES
4K	0x7dcbda2fb	32	2	YES
4K	0x7dcbda2fc	32	2	YES
4K	0x7dcbda2fd	32	2	YES
4K	0x7dcbda2fe	32	2	YES
4K	0x7dcbda2ff	32	2	YES
4K	0x7dcbda300	32	2	YES
4K	0x7dcbda301	32	2	YES
4K	0x7dcbda302	32	2	YES
4K	0x7dcbda303	32	2	YES
4K	0x7dcbda304	32	2	YES
4K	0x7dcbda305	32	2	YES
4K	0x7dcbda306	32	2	YES
4K	0x7dcbda307	32	2	YES
4K	0x7dcbda308	32	2	YES
4K	0x7dcbda309	32	2	YES
4K	0x7dcbda30a	32	2	YES
4K	0x7dcbda30b	32	2	YES
4K	0x7dcbda30c	32	2	YES
4K	0x7dcbda30d	32	2	YES
4K	0x7dcbda30e	32	2	YES
4K	0x7dcbda30f	32	2	YES
4K	0x7dcbda310	32	2	YES
4K	0x7dcbda311	32	2	YES
4K	0x7dcbda312	32	2	YES
4K	0x7dcbda313	32	2	YES
4K	0x7dcbda314	32	2	YES
4K	0x7dcbda315	32	2	YES
4K	0x7dcbda316	32	2	YES
4K	0x7dcbda317	32	2	YES
4K	0x7dcbda318	32	2	YES
4K	0x7dcbda319	32	2	YES
4K	0x7dcbda31a	32	2	YES
4K	0x7dcbda31b	32	2	YES
4K	0x7dcbda31c	32	2	YES
4K	0x7dcbda31d	32	2	YES
4K	0x7dcbda31e	32	2	YES
4K	0x7dcbda31f	32	2	YES
4K	0x7dcbda320	32	2	YES
4K	0x7dcbda321	32	2	YES
4K	0x7dcbda322	32	2	YES
4K	0x7dcbda323	32	2	YES
4K	0x7dcbda324	32	2	YES
4K	0x7dcbda325	32	2	YES
4K	0x7dcbda326	32	2	YES
4K	0x7dcbda327	32	2	YES
4K	0x7dcbda328	32	2	YES
4K	0x7dcbda329	32	2	YES
4K	0x7dcbda32a	32	2	YES
4K	0x7dcbda32b	32	2	YES
4K	0x7dcbda32c	32	2	YES
4K	0x7dcbda32d	32	2	YES
4K	0x7dcbda32e	32	2	YES
4K	0x7dcbda32f	32	2	YES
4K	0x7dcbda330	32	2	YES
4K	0x7dcbda331	32	2	YES
4K	0x7dcbda332	32	2	YES
4K	0x7dcbda333	32	2	YES
4K	0x7dcbda334	32	2	YES
4K	0x7dcbda335	32	2	YES
4K	0x7dcbda336	32	2	YES
4K	0x7dcbda337	32	2	YES
4K	0x7dcbda338	32	2	YES
4K	0x7dcbda339	32	2	YES
4K	0x7dcbda33a	32	2	YES
4K	0x7dcbda33b	32	2	YES
4K	0x7dcbda33c	32	2	YES
4K	0x7dcbda33d	32	2	YES
4K	0x7dcbda33e	32	2	YES
4K	0x7dcbda33f	32	2	YES
4K	0x7dcbda340	32	2	YES
4K	0x7dcbda341	32	2	YES
4K	0x7dcbda342	32	2	YES
4K	0x7dcbda343	32	2	YES
4K	0x7dcbda344	32	2	YES
4K	0x7dcbda345	32	2	YES
4K	0x7dcbda346	32	2	YES
4K	0x7dcbda347	32	2	YES
4K	0x7dcbda348	32	2	YES
4K	0x7dcbda349	32	2	YES
4K	0x7dcbda34a	32	2	YES
4K	0x7dcbda34b	32	2	YES
4K	0x7dcbda34c	32	2	YES
4K	0x7dcbda34d	32	2	YES
4K	0x7dcbda34e	32	2	YES
4K	0x7dcbda34f	32	2	YES
4K	0x7dcbda350	32	2	YES
4K	0x7dcbda351	32	2	YES
4K	0x7dcbda352	32	2	YES
4K	0x7dcbda353	32	2	YES
4K	0x7dcbda354	32	2	YES
4K	0x7dcbda355	32	2	YES
4K	0x7dcbda356	32	2	YES
4K	0x7dcbda357	32	2	YES
4K	0x7dcbda358	32	2	YES
4K	0x7dcbda359	32	2	YES
4K	0x7dcbda35a	32	2	YES
4K	0x7dcbda35b	32	2	YES
4K	0x7dcbda35c	32	2	YES
4K	0x7dcbda35d	32	2	YES
4K	0x7dcbda35e	32	2	YES
4K	0x7dcbda35f	32	2	YES
4K	0x7dcbda360	32	2	YES
4K	0x7dcbda361	32	2	YES
4K	0x7dcbda362	32	2	YES
4K	0x7dcbda363	32	2	YES
4K	0x7dcbda364	32	2	YES
4K	0x7dcbda365	32	2	YES
4K	0x7dcbda366	32	2	YES
4K	0x7dcbda367	32	2	YES
4K	0x7dcbda368	32	2	YES
4K	0x7dcbda369	32	2	YES
4K	0x7dcbda36a	32	2	YES
4K	0x7dcbda36b	32	2	YES
4K	0x7dcbda36c	32	2	YES
4K	0x7dcbda36d	32	2	YES
4K	0x7dcbda36e	32	2	YES
4K	0x7dcbda36f	32	2	YES
4K	0x7dcbda370	32	2	YES
4K	0x7dcbda371	32	2	YES
4K	0x7dcbda372	32	2	YES
4K	0x7dcbda373	32	2	YES
4K	0x7dcbda374	32	2	YES
4K	0x7dcbda375	32	2	YES
4K	0x7dcbda376	32	2	YES
4K	0x7dcbda377	32	2	YES
4K	0x7dcbda378	32	2	YES
4K	0x7dcbda379	32	2	YES
4K	0x7dcbda37a	32	2	YES
4K	0x7dcbda37b	32	2	YES
4K	0x7dcbda37c	32	2	YES
4K	0x7dcbda37d	32	2	YES
4K	0x7dcbda37e	32	2	YES
4K	0x7dcbda37f	32	2	YES
4K	0x7dcbda380	26	8	YES
4K	0x7dcbda381	26	8	YES
4K	0x7dcbda382	26	8	YES
4K	0x7dcbda383	26	8	YES
4K	0x7dcbda384	26	8	YES
4K	0x7dcbda385	26	8	YES
4K	0x7dcbda386	26	8	YES
4K	0x7dcbda387	26	8	YES
4K	0x7dcbda388	26	8	YES
4K	0x7dcbda389	26	8	YES
4K	0x7dcbda38a	26	8	YES
4K	0x7dcbda38b	26	8	YES
4K	0x7dcbda38c	26	8	YES
4K	0x7dcbda38d	26	8	YES
4K	0x7dcbda38e	26	8	YES
4K	0x7dcbda38f	26	8	YES
4K	0x7dcbda390	26	8	YES
4K	0x7dcbda391	26	8	YES
4K	0x7dcbda392	26	8	YES
4K	0x7dcbda393	26	8	YES
4K	0x7dcbda394	26	8	YES
4K	0x7dcbda395	26	8	YES
4K	0x7dcbda396	26	8	YES
4K	0x7dcbda397	26	8	YES
4K	0x7dcbda398	26	8	YES
4K	0x7dcbda399	26	8	YES
4K	0x7dcbda39a	26	8	YES
4K	0x7dcbda39b	26	8	YES
4K	0x7dcbda39c	26	8	YES
4K	0x7dcbda39d	26	8	YES
4K	0x7dcbda39e	26	8	YES
4K	0x7dcbda39f	26	8	YES
4K	0x7dcbda3a0	26	8	YES
4K	0x7dcbda3a1	26	8	YES
4K	0x7dcbda3a2	26	8	YES
4K	0x7dcbda3a3	26	8	YES
4K	0x7dcbda3a4	26	8	YES
4K	0x7dcbda3a5	26	8	YES
4K	0x7dcbda3a6	26	8	YES
4K	0x7dcbda3a7	26	8	YES
4K	0x7dcbda3a8	26	8	YES
4K	0x7dcbda3a9	26	8	YES
4K	0x7dcbda3aa	26	8	YES
4K	0x7dcbda3ab	26	8	YES
4K	0x7dcbda3ac	26	8	YES
4K	0x7dcbda3ad	26	8	YES
4K	0x7dcbda3ae	26	8	YES
4K	0x7dcbda3af	26	8	YES
4K	0x7dcbda3b0	26	8	YES
4K	0x7dcbda3b1	26	8	YES
4K	0x7dcbda3b2	26	8	YES
4K	0x7dcbda3b3	26	8	YES
4K	0x7dcbda3b4	26	8	YES
4K	0x7dcbda3b5	26	8	YES
4K	0x7dcbda3b6	26	8	YES
4K	0x7dcbda3b7	26	8	YES
4K	0x7dcbda3b8	26	8	YES
4K	0x7dcbda3b9	26	8	YES
4K	0x7dcbda3ba	26	8	YES
4K	0x7dcbda3bb	26	8	YES
4K	0x7dcbda3bc	26	8	YES
4K	0x7dcbda3bd	26	8	YES
4K	0x7dcbda3be	26	8	YES
4K	0x7dcbda3bf	26	8	YES
4K	0x7dcbda3c0	26	8	YES
4K	0x7dcbda3c1	26	8	YES
4K	0x7dcbda3c2	26	8	YES
4K	0x7dcbda3c3	26	8	YES
4K	0x7dcbda3c4	26	8	YES
4K	0x7dcbda3c5	26	8	YES
4K	0x7dcbda3c6	26	8	YES
4K	0x7dcbda3c7	26	8	YES
4K	0x7dcbda3c8	26	8	YES
4K	0x7dcbda3c9	26	8	YES
4K	0x7dcbda3ca	26	8	YES
4K	0x7dcbda3cb	26	8	YES
4K	0x7dcbda3cc	26	8	YES
4K	0x7dcbda3cd	26	8	YES
4K	0x7dcbda3ce	26	8	YES
4K	0x7dcbda3cf	26	8	YES
4K	0x7dcbda3d0	26	8	YES
4K	0x7dcbda3d1	26	8	YES
4K	0x7dcbda3d2	26	8	YES
4K	0x7dcbda3d3	26	8	YES
4K	0x7dcbda3d4	26	8	YES
4K	0x7dcbda3d5	26	8	YES
4K	0x7dcbda3d6	26	8	YES
4K	0x7dcbda3d7	26	8	YES
4K	0x7dcbda3d8	26	8	YES
4K	0x7dcbda3d9	26	8	YES
4K	0x7dcbda3da	26	8	YES
4K	0x7dcbda3db	26	8	YES
4K	0x7dcbda3dc	26	8	YES
4K	0x7dcbda3dd	26	8	YES
4K	0x7dcbda3de	26	8	YES
4K	0x7dcbda3df	26	8	YES
4K	0x7dcbda3e0	26	8	YES
4K	0x7dcbda3e1	26	8	YES
4K	0x7dcbda3e2	26	8	YES
4K	0x7dcbda3e3	26	8	YES
4K	0x7dcbda3e4	26	8	YES
4K	0x7dcbda3e5	26	8	YES
4K	0x7dcbda3e6	26	8	YES
4K	0x7dcbda3e7	26	8	YES
4K	0x7dcbda3e8	26	8	YES
4K	0x7dcbda3e9	26	8	YES
4K	0x7dcbda3ea	26	8	YES
4K	0x7dcbda3eb	26	8	YES
4K	0x7dcbda3ec	26	8	YES
4K	0x7dcbda3ed	26	8	YES
4K	0x7dcbda3ee	26	8	YES
4K	0x7dcbda3ef	26	8	YES
4K	0x7dcbda3f0	26	8	YES
4K	0x7dcbda3f1	26	8	YES
4K	0x7dcbda3f2	26	8	YES
4K	0x7dcbda3f3	26	8	YES
4K	0x7dcbda3f4	26	8	YES
4K	0x7dcbda3f5	26	8	YES
4K	0x7dcbda3f6	26	8	YES
4K	0x7dcbda3f7	26	8	YES
4K	0x7dcbda3f8	26	8	YES
4K	0x7dcbda3f9	26	8	YES
4K	0x7dcbda3fa	26	8	YES
4K	0x7dcbda3fb	26	8	YES
4K	0x7dcbda3fc	26	8	YES
4K	0x7dcbda3fd	26	8	YES
4K	0x7dcbda3fe	26	8	YES
4K	0x7dcbda3ff	26	8	YES
4K	0x7dcbda400	26	8	YES
4K	0x7dcbda401	26	8	YES
4K	0x7dcbda402	26	8	YES
4K	0x7dcbda403	26	8	YES
4K	0x7dcbda404	26	8	YES
4K	0x7dcbda405	26	8	YES
4K	0x7dcbda406	26	8	YES
4K	0x7dcbda407	26	8	YES
4K	0x7dcbda408	26	8	YES
4K	0x7dcbda409	26	8	YES
4K	0x7dcbda40a	26	8	YES
4K	0x7dcbda40b	26	8	YES
4K	0x7dcbda40c	26	8	YES
4K	0x7dcbda40d	26	8	YES
4K	0x7dcbda40e	26	8	YES
4K	0x7dcbda40f	26	8	YES
4K	0x7dcbda410	26	8	YES
4K	0x7dcbda411	26	8	YES
4K	0x7dcbda412	26	8	YES
4K	0x7dcbda413	26	8	YES
4K	0x7dcbda414	26	8	YES
4K	0x7dcbda415	26	8	YES
4K	0x7dcbda416	26	8	YES
4K	0x7dcbda417	26	8	YES
4K	0x7dcbda418	26	8	YES
4K	0x7dcbda419	26	8	YES
4K	0x7dcbda41a	26	8	YES
4K	0x7dcbda41b	26	8	YES
4K	0x7dcbda41c	26	8	YES
4K	0x7dcbda41d	26	8	YES
4K	0x7dcbda41e	26	8	YES
4K	0x7dcbda41f	26	8	YES
4K	0x7dcbda420	26	8	YES
4K	0x7dcbda421	26	8	YES
4K	0x7dcbda422	26	8	YES
4K	0x7dcbda423	26	8	YES
4K	0x7dcbda424	26	8	YES
4K	0x7dcbda425	26	8	YES
4K	0x7dcbda426	26	8	YES
4K	0x7dcbda427	26	8	YES
4K	0x7dcbda428	26	8	YES
4K	0x7dcbda429	26	8	YES
4K	0x7dcbda42a	26	8	YES
4K	0x7dcbda42b	26	8	YES
4K	0x7dcbda42c	26	8	YES
4K	0x7dcbda42d	26	8	YES
4K	0x7dcbda42e	26	8	YES
4K	0x7dcbda42f	26	8	YES
4K	0x7dcbda430	26	8	YES
4K	0x7dcbda431	26	8	YES
4K	0x7dcbda432	26	8	YES
4K	0x7dcbda433	26	8	YES
4K	0x7dcbda434	26	8	YES
4K	0x7dcbda435	26	8	YES
4K	0x7dcbda436	26	8	YES
4K	0x7dcbda437	26	8	YES
4K	0x7dcbda438	26	8	YES
4K	0x7dcbda439	26	8	YES
4K	0x7dcbda43a	26	8	YES
4K	0x7dcbda43b	26	8	YES
4K	0x7dcbda43c	26	8	YES
4K	0x7dcbda43d	26	8	YES
4K	0x7dcbda43e	26	8	YES
4K	0x7dcbda43f	26	8	YES
4K	0x7dcbda440	26	8	YES
4K	0x7dcbda441	26	8	YES
4K	0x7dcbda442	26	8	YES
4K	0x7dcbda443	26	8	YES
4K	0x7dcbda444	26	8	YES
4K	0x7dcbda445	26	8	YES
4K	0x7dcbda446	26	8	YES
4K	0x7dcbda447	26	8	YES
4K	0x7dcbda448	26	8	YES
4K	0x7dcbda449	26	8	YES
4K	0x7dcbda44a	26	8	YES
4K	0x7dcbda44b	26	8	YES
4K	0x7dcbda44c	26	8	YES
4K	0x7dcbda44d	26	8	YES
4K	0x7dcbda44e	26	8	YES
4K	0x7dcbda44f	26	8	YES
4K	0x7dcbda450	26	8	YES
4K	0x7dcbda451	26	8	YES
4K	0x7dcbda452	26	8	YES
4K	0x7dcbda453	26	8	YES
4K	0x7dcbda454	26	8	YES
4K	0x7dcbda455	26	8	YES
4K	0x7dcbda456	26	8	YES
4K	0x7dcbda457	26	8	YES
4K	0x7dcbda458	26	8	YES
4K	0x7dcbda459	26	8	YES
4K	0x7dcbda45a	26	8	YES
4K	0x7dcbda45b	26	8	YES
4K	0x7dcbda45c	26	8	YES
4K	0x7dcbda45d	26	8	YES
4K	0x7dcbda45e	26	8	YES
4K	0x7dcbda45f	26	8	YES
4K	0x7dcbda460	26	8	YES
4K	0x7dcbda461	26	8	YES
4K	0x7dcbda462	26	8	YES
4K	0x7dcbda463	26	8	YES
4K	0x7dcbda464	26	8	YES
4K	0x7dcbda465	26	8	YES
4K	0x7dcbda466	26	8	YES
4K	0x7dcbda467	26	8	YES
4K	0x7dcbda468	26	8	YES
4K	0x7dcbda469	26	8	YES
4K	0x7dcbda46a	26	8	YES
4K	0x7dcbda46b	26	8	YES
4K	0x7dcbda46c	26	8	YES
4K	0x7dcbda46d	26	8	YES
4K	0x7dcbda46e	26	8	YES
4K	0x7dcbda46f	26	8	YES
4K	0x7dcbda470	26	8	YES
4K	0x7dcbda471	26	8	YES
4K	0x7dcbda472	26	8	YES
4K	0x7dcbda473	26	8	YES
4K	0x7dcbda474	26	8	YES
4K	0x7dcbda475	26	8	YES
4K	0x7dcbda476	26	8	YES
4K	0x7dcbda477	26	8	YES
4K	0x7dcbda478	26	8	YES
4K	0x7dcbda479	26	8	YES
4K	0x7dcbda47a	26	8	YES
4K	0x7dcbda47b	26	8	YES
4K	0x7dcbda47c	26	8	YES
4K	0x7dcbda47d	26	8	YES
4K	0x7dcbda47e	26	8	YES
4K	0x7dcbda47f	26	8	YES
4K	0x7dcbda480	26	8	YES
4K	0x7dcbda481	26	8	YES
4K	0x7dcbda482	26	8	YES
4K	0x7dcbda483	26	8	YES
4K	0x7dcbda484	26	8	YES
4K	0x7dcbda485	26	8	YES
4K	0x7dcbda486	26	8	YES
4K	0x7dcbda487	26	8	YES
4K	0x7dcbda488	26	8	YES
4K	0x7dcbda489	26	8	YES
4K	0x7dcbda48a	26	8	YES
4K	0x7dcbda48b	26	8	YES
4K	0x7dcbda48c	26	8	YES
4K	0x7dcbda48d	26	8	YES
4K	0x7dcbda48e	26	8	YES
4K	0x7dcbda48f	26	8	YES
4K	0x7dcbda490	26	8	YES
4K	0x7dcbda491	26	8	YES
4K	0x7dcbda492	26	8	YES
4K	0x7dcbda493	26	8	YES
4K	0x7dcbda494	26	8	YES
4K	0x7dcbda495	26	8	YES
4K	0x7dcbda496	26	8	YES
4K	0x7dcbda497	26	8	YES
4K	0x7dcbda498	26	8	YES
4K	0x7dcbda499	26	8	YES
4K	0x7dcbda49a	26	8	YES
4K	0x7dcbda49b	26	8	YES
4K	0x7dcbda49c	26	8	YES
4K	0x7dcbda49d	26	8	YES
4K	0x7dcbda49e	26	8	YES
4K	0x7dcbda49f	26	8	YES
4K	0x7dcbda4a0	26	8	YES
4K	0x7dcbda4a1	26	8	YES
4K	0x7dcbda4a2	26	8	YES
4K	0x7dcbda4a3	26	8	YES
4K	0x7dcbda4a4	26	8	YES
4K	0x7dcbda4a5	26	8	YES
4K	0x7dcbda4a6	26	8	YES
4K	0x7dcbda4a7	26	8	YES
4K	0x7dcbda4a8	26	8	YES
4K	0x7dcbda4a9	26	8	YES
4K	0x7dcbda4aa	26	8	YES
4K	0x7dcbda4ab	26	8	YES
4K	0x7dcbda4ac	26	8	YES
4K	0x7dcbda4ad	26	8	YES
4K	0x7dcbda4ae	26	8	YES
4K	0x7dcbda4af	26	8	YES
4K	0x7dcbda4b0	26	8	YES
4K	0x7dcbda4b1	26	8	YES
4K	0x7dcbda4b2	26	8	YES
4K	0x7dcbda4b3	26	8	YES
4K	0x7dcbda4b4	26	8	YES
4K	0x7dcbda4b5	26	8	YES
4K	0x7dcbda4b6	26	8	YES
4K	0x7dcbda4b7	26	8	YES
4K	0x7dcbda4b8	26	8	YES
4K	0x7dcbda4b9	26	8	YES
4K	0x7dcbda4ba	26	8	YES
4K	0x7dcbda4bb	26	8	YES
4K	0x7dcbda4bc	26	8	YES
4K	0x7dcbda4bd	26	8	YES
4K	0x7dcbda4be	26	8	YES
4K	0x7dcbda4bf	26	8	YES
4K	0x7dcbda4c0	26	8	YES
4K	0x7dcbda4c1	26	8	YES
4K	0x7dcbda4c2	26	8	YES
4K	0x7dcbda4c3	26	8	YES
4K	0x7dcbda4c4	26	8	YES
4K	0x7dcbda4c5	26	8	YES
4K	0x7dcbda4c6	26	8	YES
4K	0x7dcbda4c7	26	8	YES
4K	0x7dcbda4c8	26	8	YES
4K	0x7dcbda4c9	26	8	YES
4K	0x7dcbda4ca	26	8	YES
4K	0x7dcbda4cb	26	8	YES
4K	0x7dcbda4cc	26	8	YES
4K	0x7dcbda4cd	26	8	YES
4K	0x7dcbda4ce	26	8	YES
4K	0x7dcbda4cf	26	8	YES
4K	0x7dcbda4d0	26	8	YES
4K	0x7dcbda4d1	26	8	YES
4K	0x7dcbda4d2	26	8	YES
4K	0x7dcbda4d3	26	8	YES
4K	0x7dcbda4d4	26	8	YES
4K	0x7dcbda4d5	26	8	YES
4K	0x7dcbda4d6	26	8	YES
4K	0x7dcbda4d7	26	8	YES
4K	0x7dcbda4d8	26	8	YES
4K	0x7dcbda4d9	26	8	YES
4K	0x7dcbda4da	26	8	YES
4K	0x7dcbda4db	26	8	YES
4K	0x7dcbda4dc	26	8	YES
4K	0x7dcbda4dd	26	8	YES
4K	0x7dcbda4de	26	8	YES
4K	0x7dcbda4df	26	8	YES
4K	0x7dcbda4e0	26	8	YES
4K	0x7dcbda4e1	26	8	YES
4K	0x7dcbda4e2	26	8	YES
4K	0x7dcbda4e3	26	8	YES
4K	0x7dcbda4e4	26	8	YES
4K	0x7dcbda4e5	26	8	YES
4K	0x7dcbda4e6	26	8	YES
4K	0x7dcbda4e7	26	8	YES
4K	0x7dcbda4e8	26	8	YES
4K	0x7dcbda4e9	26	8	YES
4K	0x7dcbda4ea	26	8	YES
4K	0x7dcbda4eb	26	8	YES
4K	0x7dcbda4ec	26	8	YES
4K	0x7dcbda4ed	26	8	YES
4K	0x7dcbda4ee	26	8	YES
4K	0x7dcbda4ef	26	8	YES
4K	0x7dcbda4f0	26	8	YES
4K	0x7dcbda4f1	26	8	YES
4K	0x7dcbda4f2	26	8	YES
4K	0x7dcbda4f3	26	8	YES
4K	0x7dcbda4f4	26	8	YES
4K	0x7dcbda4f5	26	8	YES
4K	0x7dcbda4f6	26	8	YES
4K	0x7dcbda4f7	26	8	YES
4K	0x7dcbda4f8	26	8	YES
4K	0x7dcbda4f9	26	8	YES
4K	0x7dcbda4fa	26	8	YES
4K	0x7dcbda4fb	26	8	YES
4K	0x7dcbda4fc	26	8	YES
4K	0x7dcbda4fd	26	8	YES
4K	0x7dcbda4fe	26	8	YES
4K	0x7dcbda4ff	26	8	YES
4K	0x7dcbda500	26	8	YES
4K	0x7dcbda501	26	8	YES
4K	0x7dcbda502	26	8	YES
4K	0x7dcbda503	26	8	YES
4K	0x7dcbda504	26	8	YES
4K	0x7dcbda505	26	8	YES
4K	0x7dcbda506	26	8	YES
4K	0x7dcbda507	26	8	YES
4K	0x7dcbda508	26	8	YES
4K	0x7dcbda509	26	8	YES
4K	0x7dcbda50a	26	8	YES
4K	0x7dcbda50b	26	8	YES
4K	0x7dcbda50c	26	8	YES
4K	0x7dcbda50d	26	8	YES
4K	0x7dcbda50e	26	8	YES
4K	0x7dcbda50f	26	8	YES
4K	0x7dcbda510	26	8	YES
4K	0x7dcbda511	26	8	YES
4K	0x7dcbda512	26	8	YES
4K	0x7dcbda513	26	8	YES
4K	0x7dcbda514	26	8	YES
4K	0x7dcbda515	26	8	YES
4K	0x7dcbda516	26	8	YES
4K	0x7dcbda517	26	8	YES
4K	0x7dcbda518	26	8	YES
4K	0x7dcbda519	26	8	YES
4K	0x7dcbda51a	26	8	YES
4K	0x7dcbda51b	26	8	YES
4K	0x7dcbda51c	26	8	YES
4K	0x7dcbda51d	26	8	YES
4K	0x7dcbda51e	26	8	YES
4K	0x7dcbda51f	26	8	YES
4K	0x7dcbda520	26	8	YES
4K	0x7dcbda521	26	8	YES
4K	0x7dcbda522	26	8	YES
4K	0x7dcbda523	26	8	YES
4K	0x7dcbda524	26	8	YES
4K	0x7dcbda525	26	8	YES
4K	0x7dcbda526	26	8	YES
4K	0x7dcbda527	26	8	YES
4K	0x7dcbda528	26	8	YES
4K	0x7dcbda529	26	8	YES
4K	0x7dcbda52a	26	8	YES
4K	0x7dcbda52b	26	8	YES
4K	0x7dcbda52c	26	8	YES
4K	0x7dcbda52d	26	8	YES
4K	0x7dcbda52e	26	8	YES
4K	0x7dcbda52f	26	8	YES
4K	0x7dcbda530	26	8	YES
4K	0x7dcbda531	26	8	YES
4K	0x7dcbda532	26	8	YES
4K	0x7dcbda533	26	8	YES
4K	0x7dcbda534	26	8	YES
4K	0x7dcbda535	26	8	YES
4K	0x7dcbda536	26	8	YES
4K	0x7dcbda537	26	8	YES
4K	0x7dcbda538	26	8	YES
4K	0x7dcbda539	26	8	YES
4K	0x7dcbda53a	26	8	YES
4K	0x7dcbda53b	26	8	YES
4K	0x7dcbda53c	26	8	YES
4K	0x7dcbda53d	26	8	YES
4K	0x7dcbda53e	26	8	YES
4K	0x7dcbda53f	26	8	YES
4K	0x7dcbda540	26	8	YES
4K	0x7dcbda541	26	8	YES
4K	0x7dcbda542	26	8	YES
4K	0x7dcbda543	26	8	YES
4K	0x7dcbda544	26	8	YES
4K	0x7dcbda545	26	8	YES
4K	0x7dcbda546	26	8	YES
4K	0x7dcbda547	26	8	YES
4K	0x7dcbda548	26	8	YES
4K	0x7dcbda549	26	8	YES
4K	0x7dcbda54a	26	8	YES
4K	0x7dcbda54b	26	8	YES
4K	0x7dcbda54c	26	8	YES
4K	0x7dcbda54d	26	8	YES
4K	0x7dcbda54e	26	8	YES
4K	0x7dcbda54f	26	8	YES
4K	0x7dcbda550	26	8	YES
4K	0x7dcbda551	26	8	YES
4K	0x7dcbda552	26	8	YES
4K	0x7dcbda553	26	8	YES
4K	0x7dcbda554	26	8	YES
4K	0x7dcbda555	26	8	YES
4K	0x7dcbda556	26	8	YES
4K	0x7dcbda557	26	8	YES
4K	0x7dcbda558	26	8	YES
4K	0x7dcbda559	26	8	YES
4K	0x7dcbda55a	26	8	YES
4K	0x7dcbda55b	26	8	YES
4K	0x7dcbda55c	26	8	YES
4K	0x7dcbda55d	26	8	YES
4K	0x7dcbda55e	26	8	YES
4K	0x7dcbda55f	26	8	YES
4K	0x7dcbda560	26	8	YES
4K	0x7dcbda561	26	8	YES
4K	0x7dcbda562	26	8	YES
4K	0x7dcbda563	26	8	YES
4K	0x7dcbda564	26	8	YES
4K	0x7dcbda565	26	8	YES
4K	0x7dcbda566	26	8	YES
4K	0x7dcbda567	26	8	YES
4K	0x7dcbda568	26	8	YES
4K	0x7dcbda569	26	8	YES
4K	0x7dcbda56a	26	8	YES
4K	0x7dcbda56b	26	8	YES
4K	0x7dcbda56c	26	8	YES
4K	0x7dcbda56d	26	8	YES
4K	0x7dcbda56e	26	8	YES
4K	0x7dcbda56f	26	8	YES
4K	0x7dcbda570	26	8	YES
4K	0x7dcbda571	26	8	YES
4K	0x7dcbda572	26	8	YES
4K	0x7dcbda573	26	8	YES
4K	0x7dcbda574	26	8	YES
4K	0x7dcbda575	26	8	YES
4K	0x7dcbda576	26	8	YES
