priority_rank	priority_band	evidence_label	stage	workload	config_id	roi	job_id	information_gain	resource_cost	evidence_gap	prerequisite	rationale
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_382	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_383	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_384	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_385	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_386	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_387	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_388	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_389	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_390	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_391	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_392	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_393	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_394	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_395	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_396	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_397	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_398	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_399	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_400	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_401	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_402	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_403	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_404	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_405	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_406	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_407	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_408	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_409	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_410	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_411	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_412	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_413	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_414	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_415	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_416	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_417	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_418	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_419	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_420	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_421	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_422	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_423	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_424	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_425	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_426	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_427	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_428	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_429	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_430	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_431	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_432	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_433	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_434	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_435	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_436	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_437	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_438	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_439	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_440	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_441	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_442	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_443	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_444	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_445	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_446	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_447	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_448	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_449	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_450	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_451	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_452	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_453	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_454	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_455	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_456	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_457	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_458	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_459	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_460	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_461	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_462	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_463	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_464	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_465	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_466	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_467	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_468	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_469	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_470	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
