family,fields,state,variant,workload
Lower,"{""dram_bandwidth_util"": ""0.144319716"", ""dram_issue_attempt"": 436600, ""dram_successful_read_issues"": 436188, ""dram_to_l2_return_path_block"": 0, ""l2_to_dram_full_block"": 0, ""missq_avg"": 0, ""returnq_occ_avg"": 0, ""scheduler_occ_avg"": 3}",MEASURED,B0-Legacy,btree
Temporal,"{""window_records"": 800}",MEASURED,B0-Legacy,btree
Tag-way,"{""tag_way_alloc_block"": 0, ""tag_way_alloc_need"": 135047}",MEASURED,B0-Banked,btree
Line-MSHR,"{""line_mshr_full_block"": 0, ""line_mshr_need"": 139249}",MEASURED,B0-Banked,btree
Descriptor,"{""chain_depth_max"": 32, ""descriptor_need"": 477174, ""descriptor_pool_full_block"": 0}",MEASURED,B0-Banked,btree
Per-address-cap,"{""per_address_cap_block"": 674, ""per_address_cap_check"": 337925}",MEASURED,B0-Banked,btree
WAD,"{""wad_avg"": 0, ""wad_full_events"": 0, ""wad_hazard_events"": 0, ""wad_hazard_wait_cycles"": 0}",MEASURED,B0-Banked,btree
Payload,"{""payload_capacity_allocation_denial"": 0, ""payload_service_port_denial"": 0, ""resident_payload_avg"": 717, ""resident_pending_sector_avg"": 2}",MEASURED,B0-Banked,btree
Bank,"{""bank0_logical_ops"": 474909, ""bank_logical_ops"": 1370834, ""bank_true_conflict_ops"": 0, ""bank_wait_cycles"": 0}",MEASURED,B0-Banked,btree
L1D,"{""l1d_accesses"": 4249841, ""l1d_miss_queue_full"": 233530, ""l1d_misses"": 1340267, ""l1d_mshr_entry_fail"": 0}",MEASURED,B0-Banked,btree
Lower,"{""dram_bandwidth_util"": ""0.144319716"", ""dram_issue_attempt"": 436600, ""dram_successful_read_issues"": 436188, ""dram_to_l2_return_path_block"": 0, ""l2_to_dram_full_block"": 0, ""missq_avg"": 0, ""returnq_occ_avg"": 0, ""scheduler_occ_avg"": 3}",MEASURED,B0-Banked,btree
Temporal,"{""window_records"": 800}",MEASURED,B0-Banked,btree
Tag-way,"{""tag_way_alloc_block"": 0, ""tag_way_alloc_need"": 594069}",MEASURED,B0-Legacy,FWT_7_21
Line-MSHR,"{""line_mshr_full_block"": 0, ""line_mshr_need"": 596844}",MEASURED,B0-Legacy,FWT_7_21
Descriptor,"{""chain_depth_max"": 4, ""descriptor_need"": 2408066, ""descriptor_pool_full_block"": 1189823}",MEASURED,B0-Legacy,FWT_7_21
Per-address-cap,"{""per_address_cap_block"": 0, ""per_address_cap_check"": 1811222}",MEASURED,B0-Legacy,FWT_7_21
WAD,"{""wad_avg"": 4, ""wad_full_events"": 0, ""wad_hazard_events"": 286123, ""wad_hazard_wait_cycles"": 286123}",MEASURED,B0-Legacy,FWT_7_21
Payload,"{""payload_capacity_allocation_denial"": 0, ""payload_service_port_denial"": 0, ""resident_payload_avg"": 998, ""resident_pending_sector_avg"": 7}",MEASURED,B0-Legacy,FWT_7_21
Bank,"{""bank0_logical_ops"": 0, ""bank_logical_ops"": 0, ""bank_true_conflict_ops"": 0, ""bank_wait_cycles"": 0}",MEASURED,B0-Legacy,FWT_7_21
L1D,"{""l1d_accesses"": 10223616, ""l1d_miss_queue_full"": 19940958, ""l1d_misses"": 5242880, ""l1d_mshr_entry_fail"": 4709556}",MEASURED,B0-Legacy,FWT_7_21
Lower,"{""dram_bandwidth_util"": ""0.162919157"", ""dram_issue_attempt"": 2284400, ""dram_successful_read_issues"": 1217032, ""dram_to_l2_return_path_block"": 0, ""l2_to_dram_full_block"": 1190064, ""missq_avg"": 4, ""returnq_occ_avg"": 0, ""scheduler_occ_avg"": 18}",MEASURED,B0-Legacy,FWT_7_21
Temporal,"{""window_records"": 3136}",MEASURED,B0-Legacy,FWT_7_21
Tag-way,"{""tag_way_alloc_block"": 0, ""tag_way_alloc_need"": 594069}",MEASURED,B0-Banked,FWT_7_21
Line-MSHR,"{""line_mshr_full_block"": 0, ""line_mshr_need"": 596844}",MEASURED,B0-Banked,FWT_7_21
Descriptor,"{""chain_depth_max"": 4, ""descriptor_need"": 2408066, ""descriptor_pool_full_block"": 1189823}",MEASURED,B0-Banked,FWT_7_21
Per-address-cap,"{""per_address_cap_block"": 0, ""per_address_cap_check"": 1811222}",MEASURED,B0-Banked,FWT_7_21
WAD,"{""wad_avg"": 4, ""wad_full_events"": 0, ""wad_hazard_events"": 286123, ""wad_hazard_wait_cycles"": 286123}",MEASURED,B0-Banked,FWT_7_21
Payload,"{""payload_capacity_allocation_denial"": 0, ""payload_service_port_denial"": 0, ""resident_payload_avg"": 998, ""resident_pending_sector_avg"": 7}",MEASURED,B0-Banked,FWT_7_21
Bank,"{""bank0_logical_ops"": 2556304, ""bank_logical_ops"": 10223616, ""bank_true_conflict_ops"": 0, ""bank_wait_cycles"": 0}",MEASURED,B0-Banked,FWT_7_21
L1D,"{""l1d_accesses"": 10223616, ""l1d_miss_queue_full"": 19940958, ""l1d_misses"": 5242880, ""l1d_mshr_entry_fail"": 4709556}",MEASURED,B0-Banked,FWT_7_21
Lower,"{""dram_bandwidth_util"": ""0.162919157"", ""dram_issue_attempt"": 2284400, ""dram_successful_read_issues"": 1217032, ""dram_to_l2_return_path_block"": 0, ""l2_to_dram_full_block"": 1190064, ""missq_avg"": 4, ""returnq_occ_avg"": 0, ""scheduler_occ_avg"": 18}",MEASURED,B0-Banked,FWT_7_21
Temporal,"{""window_records"": 3136}",MEASURED,B0-Banked,FWT_7_21
Tag-way,"{""tag_way_alloc_block"": 0, ""tag_way_alloc_need"": 61126}",MEASURED,B0-Legacy,FWT_11_19
Line-MSHR,"{""line_mshr_full_block"": 0, ""line_mshr_need"": 61126}",MEASURED,B0-Legacy,FWT_11_19
Descriptor,"{""chain_depth_max"": 4, ""descriptor_need"": 250837, ""descriptor_pool_full_block"": 119765}",MEASURED,B0-Legacy,FWT_11_19
Per-address-cap,"{""per_address_cap_block"": 0, ""per_address_cap_check"": 189711}",MEASURED,B0-Legacy,FWT_11_19
WAD,"{""wad_avg"": 0, ""wad_full_events"": 0, ""wad_hazard_events"": 0, ""wad_hazard_wait_cycles"": 0}",MEASURED,B0-Legacy,FWT_11_19
Payload,"{""payload_capacity_allocation_denial"": 0, ""payload_service_port_denial"": 0, ""resident_payload_avg"": 412, ""resident_pending_sector_avg"": 2}",MEASURED,B0-Legacy,FWT_11_19
Bank,"{""bank0_logical_ops"": 0, ""bank_logical_ops"": 0, ""bank_true_conflict_ops"": 0, ""bank_wait_cycles"": 0}",MEASURED,B0-Legacy,FWT_11_19
L1D,"{""l1d_accesses"": 2162688, ""l1d_miss_queue_full"": 2680785, ""l1d_misses"": 1114112, ""l1d_mshr_entry_fail"": 274558}",MEASURED,B0-Legacy,FWT_11_19
Lower,"{""dram_bandwidth_util"": ""0.031798033"", ""dram_issue_attempt"": 131072, ""dram_successful_read_issues"": 131072, ""dram_to_l2_return_path_block"": 0, ""l2_to_dram_full_block"": 119765, ""missq_avg"": 1, ""returnq_occ_avg"": 0, ""scheduler_occ_avg"": 0}",MEASURED,B0-Legacy,FWT_11_19
Temporal,"{""window_records"": 1088}",MEASURED,B0-Legacy,FWT_11_19
Tag-way,"{""tag_way_alloc_block"": 0, ""tag_way_alloc_need"": 61126}",MEASURED,B0-Banked,FWT_11_19
Line-MSHR,"{""line_mshr_full_block"": 0, ""line_mshr_need"": 61126}",MEASURED,B0-Banked,FWT_11_19
Descriptor,"{""chain_depth_max"": 4, ""descriptor_need"": 250837, ""descriptor_pool_full_block"": 119765}",MEASURED,B0-Banked,FWT_11_19
Per-address-cap,"{""per_address_cap_block"": 0, ""per_address_cap_check"": 189711}",MEASURED,B0-Banked,FWT_11_19
WAD,"{""wad_avg"": 0, ""wad_full_events"": 0, ""wad_hazard_events"": 0, ""wad_hazard_wait_cycles"": 0}",MEASURED,B0-Banked,FWT_11_19
Payload,"{""payload_capacity_allocation_denial"": 0, ""payload_service_port_denial"": 0, ""resident_payload_avg"": 412, ""resident_pending_sector_avg"": 2}",MEASURED,B0-Banked,FWT_11_19
Bank,"{""bank0_logical_ops"": 540672, ""bank_logical_ops"": 2162688, ""bank_true_conflict_ops"": 0, ""bank_wait_cycles"": 0}",MEASURED,B0-Banked,FWT_11_19
L1D,"{""l1d_accesses"": 2162688, ""l1d_miss_queue_full"": 2680785, ""l1d_misses"": 1114112, ""l1d_mshr_entry_fail"": 274558}",MEASURED,B0-Banked,FWT_11_19
Lower,"{""dram_bandwidth_util"": ""0.031798033"", ""dram_issue_attempt"": 131072, ""dram_successful_read_issues"": 131072, ""dram_to_l2_return_path_block"": 0, ""l2_to_dram_full_block"": 119765, ""missq_avg"": 1, ""returnq_occ_avg"": 0, ""scheduler_occ_avg"": 0}",MEASURED,B0-Banked,FWT_11_19
Temporal,"{""window_records"": 1088}",MEASURED,B0-Banked,FWT_11_19
