suite	workload	input	cohort	round1_decision	historical_runtime	runtime_tier	historical_peak_rss	rss_evidence	current_trace_path	current_asset_family	current_runnable	current_trace_tree_bytes	kernel_count	kernelslist_sha256	same_exact_trace_asset	trace_body_sha_status	trace_tree_sha256	trace_file_count_hashed	historical_result_source	estimated_risk
PolyBench	3DConvolution	NO_ARGS	PRIMARY_FULL	RUN	26-40m	LT_1H	unknown	U	/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-extract/polybench.rss-profile.stage/polybench/11.0/polybench-3DConvolution/NO_ARGS/traces/kernelslist.g	other-local-copy	directly runnable	1083398792	254	ca357a3312804307b48612d3e3999d2a798d62407b4502904d8ff31cb551de6f	PATH_MATCH_NO_BODY_SHA	RECORDED_WAVE1_ONLY	feeb86e9bff1fd5292b27d11db93876edac8da21e854caedb3cc084b21d5aece	254	decoupled_l2_workload_roster_under_5h.md + memory_plan	trace-body SHA recorded for selected Wave-1 asset only
PolyBench	3mm	NO_ARGS	PRIMARY_FULL	RUN	1h44-2h24	1_TO_4H	unknown	U	/workspace/worktrees/accel-sim-decoupled-l2/hw_run/c2p-polybench-full-20260821/polybench/11.0/polybench-3mm/NO_ARGS/traces/kernelslist.g	V100-NVBit-staged	directly runnable	2918140935	3	024b84b0fa33cfe4c63f026fd9be21469c7dd1d48ff4d6594ac613ee361d9fa8	PATH_MATCH_NO_BODY_SHA	RECORDED_WAVE1_ONLY	a882c33796b3817f5688f79e84a22d23a1f9b38c068bc02ae170748595708ebe	3	decoupled_l2_workload_roster_under_5h.md + memory_plan	trace-body SHA recorded for selected Wave-1 asset only
PolyBench	gemm	NO_ARGS	PRIMARY_FULL	RUN	27-67m	LT_1H	6.45GiB	X	/workspace/worktrees/accel-sim-decoupled-l2/hw_run/c2p-polybench-full-20260821/polybench/11.0/polybench-gemm/NO_ARGS/traces/kernelslist.g	V100-NVBit-staged	directly runnable	1110675117	1	fd9a9430fc95eb0af4c73b9710db271f8e32bff4ea2f5dd08a4e8e17c9b02057	PATH_MATCH_NO_BODY_SHA	RECORDED_WAVE1_ONLY	00d39591973f18c631a382d2c8e36acc37f5f18e0a31eee3bef95fb4ada9d1a0	1	decoupled_l2_workload_roster_under_5h.md + memory_plan	trace-body SHA recorded for selected Wave-1 asset only
Mars	ss	V100 kernel-only	V100_BOUNDED	SECONDARY_BOUNDED	3h44 bounded	1_TO_4H	0.434GiB	X	/workspace/worktrees/accel-sim-tls-cache/hw_run/tls-cache-v100-staging/ss/tls-mars-ss/traces/kernelslist.g	V100-NVBit-staged	directly runnable	69682936	199	66046b6e62d6a12c2bf75d43cade208c047359d32a44307bcfab9bde5e35f9a0	V100_STAGED_NO_BODY_SHA	RECORDED_WAVE1_ONLY	a5495457119aa4e0e18a5aa552072834c39714b52f07a74b3edb4be184ea6da6	199	decoupled_l2_workload_roster_under_5h.md + memory_plan	trace-body SHA recorded for selected Wave-1 asset only
SHOC	fft	size=1,pass=1	V100_BOUNDED	SECONDARY_BOUNDED	bounded	UNKNOWN_OR_BOUNDED	unknown	U	/workspace/worktrees/accel-sim-tls-cache/hw_run/tls-cache-v100-staging/fft/tls-shoc-fft/traces/kernelslist.g	V100-NVBit-staged	directly runnable	93868	6	5614d6e3997a95de7451ad75de66868691f6d88edcd84b90dba875fd1b142000	V100_STAGED_NO_BODY_SHA	RECORDED_WAVE1_ONLY	8df6ee953b26cbeb4394d349bbaf2243eef0fb92245ca08666b4e76e0e279e6a	6	decoupled_l2_workload_roster_under_5h.md + memory_plan	trace-body SHA recorded for selected Wave-1 asset only
SHOC	sort	V100 staged	V100_BOUNDED	SECONDARY_BOUNDED	bounded	UNKNOWN_OR_BOUNDED	unknown	U	/workspace/worktrees/accel-sim-tls-cache/hw_run/tls-cache-v100-staging/sort/tls-shoc-sort/traces/kernelslist.g	V100-NVBit-staged	directly runnable	1105232	48	2038a3481a17d5c31bd634ffc08fa187866d71a52eb93f9ac1871c3a47a8663a	V100_STAGED_NO_BODY_SHA	RECORDED_WAVE1_ONLY	5c1f548a150a4445b330fc60eb7e3759dc9c2502e8c6745d6d8d16d4aa22b445	48	decoupled_l2_workload_roster_under_5h.md + memory_plan	trace-body SHA recorded for selected Wave-1 asset only
SHOC	gemm	V100 staged	V100_BOUNDED	SECONDARY_BOUNDED	bounded	UNKNOWN_OR_BOUNDED	unknown	U	/workspace/worktrees/accel-sim-tls-cache/hw_run/tls-cache-v100-staging/gemm/tls-shoc-gemm/traces/kernelslist.g	V100-NVBit-staged	directly runnable	2275380	35	9ef43be6cb45c3a14162a6c0278baceebe4c2c625b3353bfd320da7107e2f231	V100_STAGED_NO_BODY_SHA	RECORDED_WAVE1_ONLY	902c65b0d4d7a6b19f2b6568f22fac757570421b8b72ab784a0e952e729effdb	35	decoupled_l2_workload_roster_under_5h.md + memory_plan	trace-body SHA recorded for selected Wave-1 asset only
SHOC	redc	reduction V100 staged	V100_BOUNDED	SECONDARY_BOUNDED	bounded	UNKNOWN_OR_BOUNDED	unknown	U	/workspace/worktrees/accel-sim-tls-cache/hw_run/tls-cache-v100-staging/reduction/tls-shoc-reduction/traces/kernelslist.g	V100-NVBit-staged	directly runnable	6358700	512	5870abd03b219cb1569bdc49f091a1a6febdc3f25e1ce4641e15036f2c6610e1	V100_STAGED_NO_BODY_SHA	RECORDED_WAVE1_ONLY	33e9416b0ed6a842de9bc71d9f40cc7a58c149b17493f98e5bf39dfd5284a733	512	decoupled_l2_workload_roster_under_5h.md + memory_plan	trace-body SHA recorded for selected Wave-1 asset only
ISPASS	ispass_bfs	V100 staged	V100_SPECIAL	NEEDS_REVIEW	unknown	UNKNOWN_OR_BOUNDED	unknown	U	/workspace/worktrees/accel-sim-c2p-cache/hw_run/c2p-v100-baseline-compat-smoke-v2-20260822/stage/c2p-ispass-bfs/c2p-ispass-bfs/traces/kernelslist.g	V100-NVBit-staged	directly runnable	7670676	10	4a3ba50ae844c2280508a28ac7c1b702a5865f7ff2559c1c502b954fdae2fc6b	V100_STAGED_NO_BODY_SHA	RECORDED_WAVE1_ONLY	07d508de5647af6677d8e7365fceb276dc38a572ea88c5335f9ad8cf0fea822c	10	decoupled_l2_workload_roster_under_5h.md + memory_plan	trace-body SHA recorded for selected Wave-1 asset only
ISPASS	ispass_lps	V100 staged	V100_SPECIAL	NEEDS_REVIEW	91-146s	LT_1H	0.69-0.72GiB	X	/workspace/worktrees/accel-sim-c2p-cache/hw_run/c2p-v100-baseline-compat-smoke-v2-20260822/stage/c2p-ispass-lps/c2p-ispass-lps/traces/kernelslist.g	V100-NVBit-staged	directly runnable	534340	1	7b093d45ca0fe5a6cbf38298aa8afcc9128fee4e35c25a7c7f69bf1092f5580a	V100_STAGED_NO_BODY_SHA	RECORDED_WAVE1_ONLY	72baa0c597ccaaea009978d1a593db3918a4b94e1b501b7a64770d1a412326c1	1	decoupled_l2_workload_roster_under_5h.md + memory_plan	trace-body SHA recorded for selected Wave-1 asset only
ISPASS	ispass_ray	V100 staged	V100_SPECIAL	NEEDS_REVIEW	unknown	UNKNOWN_OR_BOUNDED	unknown	U	/workspace/worktrees/accel-sim-c2p-cache/hw_run/c2p-v100-baseline-compat-smoke-v2-20260822/stage/c2p-ispass-ray/c2p-ispass-ray/traces/kernelslist.g	V100-NVBit-staged	directly runnable	978652	1	8df2ea1be678dca3493e85e2095d3c654c0f2d4b0d3b14734e9b0ffb1b18f8a4	V100_STAGED_NO_BODY_SHA	RECORDED_WAVE1_ONLY	7af8a7d8c3b4c5c8abf5a6124ad3ac285a203f815b7812a9aa1578137455c3e9	1	decoupled_l2_workload_roster_under_5h.md + memory_plan	trace-body SHA recorded for selected Wave-1 asset only
ISPASS	ispass_lib	V100 staged	V100_SPECIAL	NEEDS_REVIEW	unknown	UNKNOWN_OR_BOUNDED	unknown	U	/workspace/worktrees/accel-sim-c2p-cache/hw_run/c2p-v100-baseline-compat-smoke-v2-20260822/stage/c2p-ispass-lib/c2p-ispass-lib/traces/kernelslist.g	V100-NVBit-staged	directly runnable	5502716	2	767ded90403b75f4fb2cae3bf7f66f71e3942538262d8955aab851e409b56520	V100_STAGED_NO_BODY_SHA	RECORDED_WAVE1_ONLY	ba78d42118f8a5db2c026deca9e1c84b28132765f9c84639e1027147b482a66e	2	decoupled_l2_workload_roster_under_5h.md + memory_plan	trace-body SHA recorded for selected Wave-1 asset only
Pannotia	fw_block	V100 staged	V100_SPECIAL	NEEDS_REVIEW	unknown	UNKNOWN_OR_BOUNDED	unknown	U	/workspace/worktrees/accel-sim-c2p-cache/hw_run/c2p-v100-baseline-compat-smoke-v2-20260822/stage/c2p-pannotia-fw-block/c2p-pannotia-fw-block/traces/kernelslist.g	V100-NVBit-staged	directly runnable	5354540	64	8c081505e1dd901e2f6135e26c519a26a1dd1a0ea8b2f1f26e8de57f433388e6	V100_STAGED_NO_BODY_SHA	RECORDED_WAVE1_ONLY	2ce5e415c2832a6264b2a670456a9044e414a5fd7bc30b67fcf1d523cce33809	64	decoupled_l2_workload_roster_under_5h.md + memory_plan	trace-body SHA recorded for selected Wave-1 asset only
